Rotation 0 deg zeroZ 4400
id x y z 
631 19.430 -183.330 4397.510
632 19.370 -213.370 4398.440
633 19.440 -243.340 4399.870
634 19.400 -273.310 4402.120
635 19.370 -303.370 4406.030
636 19.370 -333.370 4406.570
637 19.380 -363.420 4408.260
638 19.340 -393.310 4409.110
639 19.420 -423.320 4409.420
640 12.400 -453.330 4410.090
641 19.370 -483.370 4411.780
642 19.370 -513.370 4416.350
643 19.370 -543.370 4416.220
645 45.370 551.600 4399.210
646 45.440 522.110 4398.940
647 44.970 500.150 4399.690
648 45.710 461.270 4397.800
649 45.470 435.480 4398.250
650 45.060 401.820 4399.050
651 45.520 371.620 4398.400
652 45.300 341.680 4398.110
653 45.220 311.300 4396.960
654 45.230 281.520 4396.090
655 45.360 251.640 4396.360
656 45.480 221.180 4396.570
657 45.350 -168.370 4397.470
658 45.350 -198.370 4398.900
659 45.390 -228.340 4400.900
660 45.330 -258.310 4403.140
661 45.310 -288.360 4407.260
662 45.350 -318.410 4408.250
663 45.370 -348.370 4409.900
664 45.320 -378.230 4410.560
665 45.380 -408.410 4410.820
666 48.400 -438.370 4410.510
667 40.850 -465.370 4410.620
668 45.350 -493.870 4412.410
669 49.350 -532.370 4416.150
670 49.850 -560.370 4416.650
671 71.320 566.650 4399.840
672 71.180 536.820 4400.390
673 71.680 505.920 4399.440
674 71.430 476.520 4398.860
675 71.640 446.570 4398.210
676 71.420 410.390 4398.700
677 71.400 386.330 4398.710
678 71.200 356.690 4400.120
679 71.150 326.420 4397.620
680 71.160 296.740 4397.460
681 71.220 266.770 4396.850
682 71.430 237.670 4397.310
684 71.330 -153.370 4397.410
685 71.330 -183.370 4398.340
686 71.330 -213.370 4401.880
687 71.330 -237.370 4403.910
688 71.400 -273.250 4407.620
689 71.330 -303.370 4409.280
690 71.340 -337.330 4410.960
691 71.320 -361.350 4411.890
692 71.330 -393.370 4411.010
693 71.330 -423.370 4411.120
694 62.330 -453.370 4411.070
695 71.330 -483.370 4411.500
696 71.330 -515.370 4414.570
697 67.330 -543.370 4416.460
699 92.690 547.720 4400.500
700 97.150 521.760 4400.170
701 97.230 494.250 4399.300
702 97.520 461.450 4398.460
703 97.630 427.740 4398.750
704 97.550 401.500 4399.530
705 97.470 371.300 4399.350
706 97.290 341.730 4399.200
707 93.250 311.820 4398.910
708 96.860 281.950 4397.960
